Student_ID,Name,Gender,Year,Department
2023ENTC274,Gabriella Gray,Other,FE,ENTC
2023ENTC278,Michelle Howard,Female,BE,ENTC
2023ENTC280,Kristine Lara,Other,BE,ENTC
2023ENTC299,Tammy Cox,Other,TE,ENTC
2023ENTC302,John Knapp,Other,TE,ENTC
2023ENTC303,Dr. Jacqueline Johnson DDS,Male,FE,ENTC
2023ENTC306,Jason Berg,Male,FE,ENTC
2023ENTC309,Ashley Richardson,Other,FE,ENTC
2023ENTC311,Deanna Cummings,Female,TE,ENTC
2023ENTC316,Kristen Jackson,Other,TE,ENTC
2023ENTC324,Taylor Holmes,Male,BE,ENTC
